linesolver
iteration 10: energy = 197230.748100 = 197230.748099, xb = 197231.061964, voltage energy = 197231.376014, gap = 0.000185
treesolver
iteration 1: energy = 4128895.682194 = 4128895.682194, xb = 189301.030547, voltage energy = 411095.369775, gap = 4161388.990876
iteration 2: energy = 664432.391756 = 664432.391757, xb = 194205.538724, voltage energy = 213912.421950, gap = 489933.736259
iteration 3: energy = 218038.664320 = 218038.664321, xb = 195964.626630, voltage energy = 200129.871885, gap = 26239.282946
iteration 4: energy = 198660.329050 = 198660.329051, xb = 197677.617743, voltage energy = 199754.519114, gap = 3059.612679
iteration 5: energy = 197316.636639 = 197316.636639, xb = 197199.501727, voltage energy = 197176.318513, gap = 93.951698
iteration 6: energy = 197235.644408 = 197235.644409, xb = 197190.241952, voltage energy = 197150.813284, gap = 5.973788
iteration 7: energy = 197231.053390 = 197231.053391, xb = 197231.010956, voltage energy = 197231.308614, gap = 0.340092
iteration 8: energy = 197230.767944 = 197230.767945, xb = 197231.997611, voltage energy = 197233.248785, gap = 0.021508
iteration 9: energy = 197230.749288 = 197230.749288, xb = 197231.007466, voltage energy = 197231.267831, gap = 0.002188
iteration 10: energy = 197230.748100 = 197230.748099, xb = 197231.061964, voltage energy = 197231.376014, gap = 0.000185
treesolver
iteration 1: energy = 4128895.682194 = 4128895.682194, xb = 189301.030547, voltage energy = 411095.369775, gap = 4161388.990876
iteration 2: energy = 664432.391756 = 664432.391757, xb = 194205.538724, voltage energy = 213912.421950, gap = 489933.736259
iteration 3: energy = 218038.664320 = 218038.664321, xb = 195964.626630, voltage energy = 200129.871885, gap = 26239.282946
iteration 4: energy = 198660.329050 = 198660.329051, xb = 197677.617743, voltage energy = 199754.519114, gap = 3059.612679
iteration 5: energy = 197316.636639 = 197316.636639, xb = 197199.501727, voltage energy = 197176.318513, gap = 93.951698
iteration 6: energy = 197235.644408 = 197235.644409, xb = 197190.241952, voltage energy = 197150.813284, gap = 5.973788
iteration 7: energy = 197231.053390 = 197231.053391, xb = 197231.010956, voltage energy = 197231.308614, gap = 0.340092
iteration 8: energy = 197230.767944 = 197230.767945, xb = 197231.997611, voltage energy = 197233.248785, gap = 0.021508
iteration 9: energy = 197230.749288 = 197230.749288, xb = 197231.007466, voltage energy = 197231.267831, gap = 0.002188
iteration 10: energy = 197230.748100 = 197230.748099, xb = 197231.061964, voltage energy = 197231.376014, gap = 0.000185
treesolver
iteration 1: energy = 4128895.682194 = 4128895.682194, xb = 189301.030547, voltage energy = 411095.369775, gap = 4161388.990876
iteration 2: energy = 664432.391756 = 664432.391757, xb = 194205.538724, voltage energy = 213912.421950, gap = 489933.736259
iteration 3: energy = 218038.664320 = 218038.664321, xb = 195964.626630, voltage energy = 200129.871885, gap = 26239.282946
iteration 4: energy = 198660.329050 = 198660.329051, xb = 197677.617743, voltage energy = 199754.519114, gap = 3059.612679
iteration 5: energy = 197316.636639 = 197316.636639, xb = 197199.501727, voltage energy = 197176.318513, gap = 93.951698
iteration 6: energy = 197235.644408 = 197235.644409, xb = 197190.241952, voltage energy = 197150.813284, gap = 5.973788
iteration 7: energy = 197231.053390 = 197231.053391, xb = 197231.010956, voltage energy = 197231.308614, gap = 0.340092
iteration 8: energy = 197230.767944 = 197230.767945, xb = 197231.997611, voltage energy = 197233.248785, gap = 0.021508
iteration 9: energy = 197230.749288 = 197230.749288, xb = 197231.007466, voltage energy = 197231.267831, gap = 0.002188
iteration 10: energy = 197230.748100 = 197230.748099, xb = 197231.061964, voltage energy = 197231.376014, gap = 0.000185
treesolver
iteration 1: energy = 4128895.682194 = 4128895.682194, xb = 189301.030547, voltage energy = 411095.369775, gap = 4161388.990876
iteration 2: energy = 664432.391756 = 664432.391757, xb = 194205.538724, voltage energy = 213912.421950, gap = 489933.736259
iteration 3: energy = 218038.664320 = 218038.664321, xb = 195964.626630, voltage energy = 200129.871885, gap = 26239.282946
iteration 4: energy = 198660.329050 = 198660.329051, xb = 197677.617743, voltage energy = 199754.519114, gap = 3059.612679
iteration 5: energy = 197316.636639 = 197316.636639, xb = 197199.501727, voltage energy = 197176.318513, gap = 93.951698
iteration 6: energy = 197235.644408 = 197235.644409, xb = 197190.241952, voltage energy = 197150.813284, gap = 5.973788
iteration 7: energy = 197231.053390 = 197231.053391, xb = 197231.010956, voltage energy = 197231.308614, gap = 0.340092
iteration 8: energy = 197230.767944 = 197230.767945, xb = 197231.997611, voltage energy = 197233.248785, gap = 0.021508
iteration 9: energy = 197230.749288 = 197230.749288, xb = 197231.007466, voltage energy = 197231.267831, gap = 0.002188
iteration 10: energy = 197230.748100 = 197230.748099, xb = 197231.061964, voltage energy = 197231.376014, gap = 0.000185
treesolver
iteration 1: energy = 4128895.682194 = 4128895.682194, xb = 189301.030547, voltage energy = 411095.369775, gap = 4161388.990876
iteration 2: energy = 664432.391756 = 664432.391757, xb = 194205.538724, voltage energy = 213912.421950, gap = 489933.736259
iteration 3: energy = 218038.664320 = 218038.664321, xb = 195964.626630, voltage energy = 200129.871885, gap = 26239.282946
iteration 4: energy = 198660.329050 = 198660.329051, xb = 197677.617743, voltage energy = 199754.519114, gap = 3059.612679
iteration 5: energy = 197316.636639 = 197316.636639, xb = 197199.501727, voltage energy = 197176.318513, gap = 93.951698
iteration 6: energy = 197235.644408 = 197235.644409, xb = 197190.241952, voltage energy = 197150.813284, gap = 5.973788
iteration 7: energy = 197231.053390 = 197231.053391, xb = 197231.010956, voltage energy = 197231.308614, gap = 0.340092
iteration 8: energy = 197230.767944 = 197230.767945, xb = 197231.997611, voltage energy = 197233.248785, gap = 0.021508
iteration 9: energy = 197230.749288 = 197230.749288, xb = 197231.007466, voltage energy = 197231.267831, gap = 0.002188
iteration 10: energy = 197230.748100 = 197230.748099, xb = 197231.061964, voltage energy = 197231.376014, gap = 0.000185
recursivelinesolver
iteration 0: residue = 1.377326, energy = 42656111.717556 = 42656111.717556, xb = 236784.159139, voltage energy = 1157750.149890, gap = 43340293.549169
iteration 1: residue = 1.072264, energy = 29438379.134235 = 29438379.134235, xb = 218186.839866, voltage energy = 1198875.664945, gap = 30200881.119448
iteration 2: residue = 0.751301, energy = 9919084.036379 = 9919084.036381, xb = 231671.698023, voltage energy = 1395069.798371, gap = 10850810.438707
iteration 3: residue = 0.598336, energy = 4128895.682193 = 4128895.682194, xb = 189301.030536, voltage energy = 411095.369682, gap = 4161388.990805
iteration 4: residue = 1.099188, energy = 1950874.537892 = 1950874.537893, xb = 221781.314898, voltage energy = 3382360.410518, gap = 4889672.318616
iteration 5: residue = 0.319868, energy = 1174862.718990 = 1174862.718992, xb = 198849.149637, voltage energy = 313670.901811, gap = 1090835.321529
iteration 6: residue = 0.293124, energy = 801818.382872 = 801818.382874, xb = 204003.052340, voltage energy = 422087.214373, gap = 815899.492568
iteration 7: residue = 0.237577, energy = 664432.391755 = 664432.391757, xb = 194205.538724, voltage energy = 213912.421950, gap = 489933.736259
iteration 8: residue = 0.223050, energy = 555621.898801 = 555621.898803, xb = 197132.078237, voltage energy = 209720.076752, gap = 371077.819081
