linesolver
iteration 1: residue = 5.330419, energy = 2392160.672157 = 2392160.672156, xb = 152661.888584, voltage energy = 865519.999776, gap = 2952356.894765
iteration 2: residue = 4.013056, energy = 1391572.688373 = 1391572.688373, xb = 123581.809169, voltage energy = 319564.368451, gap = 1463973.438486
iteration 3: residue = 2.811583, energy = 770684.430013 = 770684.430013, xb = 122973.441091, voltage energy = 237044.528884, gap = 761782.076716
iteration 4: residue = 1.973012, energy = 432739.809016 = 432739.809016, xb = 126176.355922, voltage energy = 222378.756860, gap = 402765.854032
iteration 5: residue = 1.409840, energy = 291092.330981 = 291092.330980, xb = 118379.136670, voltage energy = 135548.876403, gap = 189882.934044
iteration 6: residue = 1.007736, energy = 206685.274553 = 206685.274553, xb = 124816.924147, voltage energy = 137710.796163, gap = 94762.222421
iteration 7: residue = 0.719657, energy = 167973.311964 = 167973.311963, xb = 126291.021559, voltage energy = 133470.282525, gap = 48861.551371
iteration 8: residue = 0.590569, energy = 153504.245745 = 153504.245744, xb = 124845.247722, voltage energy = 129839.134203, gap = 33652.884504
iteration 9: residue = 0.460869, energy = 138579.985049 = 138579.985049, xb = 125947.340991, voltage energy = 134747.477463, gap = 21432.780529
iteration 10: residue = 0.277920, energy = 131228.863249 = 131228.863249, xb = 125414.677505, voltage energy = 125989.485874, gap = 6388.994113
iteration 11: residue = 0.191645, energy = 128707.652555 = 128707.652554, xb = 125458.931715, voltage energy = 125610.018301, gap = 3399.807426
iteration 12: residue = 0.130865, energy = 127283.174877 = 127283.174877, xb = 125536.338016, voltage energy = 125450.116970, gap = 1660.615814
iteration 13: residue = 0.088149, energy = 126509.219848 = 126509.219848, xb = 126122.414289, voltage energy = 126437.633395, gap = 702.024665
iteration 14: residue = 0.061736, energy = 126190.675091 = 126190.675091, xb = 125857.293556, voltage energy = 125857.927459, gap = 334.015439
