linesolver
iteration 10: residue = 0.125015, energy = 747916.707320 = 747916.707321, xb = 684906.114401, voltage energy = 695665.733748, gap = 73770.212267
iteration 11: residue = 0.076138, energy = 716639.669092 = 716639.669093, xb = 690527.537331, voltage energy = 693260.287165, gap = 28844.881596
iteration 12: residue = 0.051592, energy = 702758.711646 = 702758.711646, xb = 697393.996680, voltage energy = 705312.458875, gap = 13283.177161
iteration 13: residue = 0.036451, energy = 697343.113204 = 697343.113204, xb = 689055.092090, voltage energy = 687480.356520, gap = 6713.285544
iteration 14: residue = 0.026071, energy = 694588.090639 = 694588.090639, xb = 693258.760994, voltage energy = 695350.498207, gap = 3421.066859
iteration 15: residue = 0.019595, energy = 693097.708227 = 693097.708228, xb = 693811.113165, voltage energy = 696464.037577, gap = 1939.519475
iteration 16: residue = 0.013287, energy = 692514.171754 = 692514.171755, xb = 691916.168059, voltage energy = 692199.487161, gap = 881.322798
iteration 17: residue = 0.009185, energy = 692102.118974 = 692102.118974, xb = 691198.401304, voltage energy = 690715.503616, gap = 420.819983
iteration 18: residue = 0.006294, energy = 691920.847643 = 691920.847644, xb = 691670.427728, voltage energy = 691617.570152, gap = 197.562340
iteration 19: residue = 0.004456, energy = 691840.835916 = 691840.835917, xb = 691452.177496, voltage energy = 691162.008679, gap = 98.489603
iteration 20: residue = 0.003084, energy = 691791.934613 = 691791.934613, xb = 691417.687985, voltage energy = 691090.302924, gap = 46.861567
iteration 21: residue = 0.002249, energy = 691770.480859 = 691770.480860, xb = 691537.887128, voltage energy = 691330.771537, gap = 25.478141
iteration 22: residue = 0.001477, energy = 691760.651830 = 691760.651830, xb = 691925.948344, voltage energy = 692102.709258, gap = 11.464400
iteration 23: residue = 0.001031, energy = 691756.367513 = 691756.367514, xb = 691694.015482, voltage energy = 691636.943035, gap = 5.279584
iteration 24: residue = 0.000744, energy = 691753.925200 = 691753.925200, xb = 691780.838936, voltage energy = 691810.394845, gap = 2.642173
iteration 25: residue = 0.000517, energy = 691752.956903 = 691752.956904, xb = 691790.695574, voltage energy = 691829.741948, gap = 1.307704
iteration 26: residue = 0.000377, energy = 691752.426636 = 691752.426637, xb = 691783.683581, voltage energy = 691815.634016, gap = 0.693491
iteration 27: residue = 0.000323, energy = 691752.138870 = 691752.138870, xb = 691794.233365, voltage energy = 691836.840006, gap = 0.512147
iteration 28: residue = 0.000221, energy = 691751.975616 = 691751.975617, xb = 691766.449581, voltage energy = 691781.137424, gap = 0.213878
iteration 29: residue = 0.000122, energy = 691751.907649 = 691751.907649, xb = 691761.247550, voltage energy = 691770.660509, gap = 0.073057
iteration 30: residue = 0.000106, energy = 691751.877475 = 691751.877476, xb = 691763.274319, voltage energy = 691774.736034, gap = 0.064871
