*** NetworKit Unit Tests *** 
Note: Google Test filter = *.solveMtx
[==========] Running 1 test from 1 test case.
[----------] Global test environment set-up.
[----------] 1 test from LaplacianSolverBenchmark
[ RUN      ] LaplacianSolverBenchmark.solveMtx
seed: 3462745828
40000
1
root: 36251
Readed spanning tree form tree.txt
init finished
begin: main
Iter 0, Residual:1311.63
Iter 11000000, Residual:0.165592
Iter 11040000, Residual:0.188292
Iter 11080000, Residual:0.17118
Iter 11120000, Residual:0.160722
Iter 11160000, Residual:0.253844
Iter 11200000, Residual:0.176476
Iter 11240000, Residual:0.17541
Iter 11280000, Residual:0.21934
Iter 11320000, Residual:0.154287
Iter 11360000, Residual:0.15424
Iter 11400000, Residual:0.158423
Iter 11440000, Residual:0.152725
Iter 11480000, Residual:0.155525
Iter 11520000, Residual:0.164436
Iter 11560000, Residual:0.15916
Iter 11600000, Residual:0.161481
Iter 11640000, Residual:0.152668
Iter 11680000, Residual:0.154679
Iter 11720000, Residual:0.153531
Iter 11760000, Residual:0.142538
Iter 11800000, Residual:0.148268
Iter 11840000, Residual:0.150097
Iter 11880000, Residual:0.136129
Iter 11920000, Residual:0.143592
Iter 11960000, Residual:0.135722
Iter 12000000, Residual:0.195805
Iter 12040000, Residual:0.131619
Iter 12080000, Residual:0.140471
Iter 12120000, Residual:0.130178
Iter 12160000, Residual:0.142452
Iter 12200000, Residual:0.137329
Iter 12240000, Residual:0.135075
Iter 12280000, Residual:0.131995
Iter 12320000, Residual:0.122758
Iter 12360000, Residual:0.118572
Iter 12400000, Residual:0.119719
Iter 12440000, Residual:0.132463
Iter 12480000, Residual:0.120897
Iter 12520000, Residual:0.154881
Iter 12560000, Residual:0.133525
Iter 12600000, Residual:0.124125
Iter 12640000, Residual:0.122263
Iter 12680000, Residual:0.12864
Iter 12720000, Residual:0.120231
Iter 12760000, Residual:0.112875
Iter 12800000, Residual:0.128504
Iter 12840000, Residual:0.113834
Iter 12880000, Residual:0.122964
Iter 12920000, Residual:0.113054
Iter 12960000, Residual:0.125331
Iter 13000000, Residual:0.109696
Iter 13040000, Residual:0.11214
Iter 13080000, Residual:0.107655
Iter 13120000, Residual:0.108202
Iter 13160000, Residual:0.124883
Iter 13200000, Residual:0.10211
Iter 13240000, Residual:0.128096
Iter 13280000, Residual:0.116883
Iter 13320000, Residual:0.104647
Iter 13360000, Residual:0.107664
Iter 13400000, Residual:0.0974989
Iter 13440000, Residual:0.0975689
Iter 13480000, Residual:0.147483
Iter 13520000, Residual:0.0941666
Iter 13560000, Residual:0.0886345
Iter 13600000, Residual:0.10236
Iter 13640000, Residual:0.0891862
Iter 13680000, Residual:0.0867007
Iter 13720000, Residual:0.0955363
Iter 13760000, Residual:0.10671
Iter 13800000, Residual:0.0951148
Iter 13840000, Residual:0.0914704
Iter 13880000, Residual:0.0928611
Iter 13920000, Residual:0.0987761
Iter 13960000, Residual:0.0913579
Iter 14000000, Residual:0.100255
Iter 14040000, Residual:0.0886061
Iter 14080000, Residual:0.107998
Iter 14120000, Residual:0.0874128
Iter 14160000, Residual:0.0868404
Iter 14200000, Residual:0.0868828
Iter 14240000, Residual:0.0869844
Iter 14280000, Residual:0.101674
Iter 14320000, Residual:0.0923824
Iter 14360000, Residual:0.0837639
Iter 14400000, Residual:0.083945
Iter 14440000, Residual:0.0804479
Iter 14480000, Residual:0.0982865
Iter 14520000, Residual:0.0811973
Iter 14560000, Residual:0.0748919
Iter 14600000, Residual:0.0790958
Iter 14640000, Residual:0.0835193
Iter 14680000, Residual:0.0716061
Iter 14720000, Residual:0.0749115
Iter 14760000, Residual:0.0706304
Iter 14800000, Residual:0.0712599
Iter 14840000, Residual:0.0738909
Iter 14880000, Residual:0.0808435
Iter 14920000, Residual:0.0756543
Iter 14960000, Residual:0.0714237
Iter 15000000, Residual:0.0749815
Iter 15040000, Residual:0.0718093
Iter 15080000, Residual:0.0755991
Iter 15120000, Residual:0.0836647
Iter 15160000, Residual:0.0675949
