*** NetworKit Unit Tests *** 
Note: Google Test filter = *.solveMtx
[==========] Running 1 test from 1 test case.
[----------] Global test environment set-up.
[----------] 1 test from LaplacianSolverBenchmark
[ RUN      ] LaplacianSolverBenchmark.solveMtx
seed: 341758612
40000
1
root: 36694
Readed spanning tree form tree.txt
init finished
begin: main
Iter 0, Residual:1140.59
Iter 9200000, Residual:0.0822531
Iter 9240000, Residual:0.0734929
Iter 9280000, Residual:0.0707282
Iter 9320000, Residual:0.0671396
Iter 9360000, Residual:0.0824325
Iter 9400000, Residual:0.0718786
Iter 9440000, Residual:0.0680198
Iter 9480000, Residual:0.0674703
Iter 9520000, Residual:0.0628271
Iter 9560000, Residual:0.0677974
Iter 9600000, Residual:0.069744
Iter 9640000, Residual:0.06986
Iter 9680000, Residual:0.0642022
Iter 9720000, Residual:0.0636843
Iter 9760000, Residual:0.0618672
Iter 9800000, Residual:0.0617792
Iter 9840000, Residual:0.0628069
Iter 9880000, Residual:0.0607189
Iter 9920000, Residual:0.059151
Iter 9960000, Residual:0.0599308
Iter 10000000, Residual:0.0611865
Iter 10040000, Residual:0.0681109
Iter 10080000, Residual:0.056642
Iter 10120000, Residual:0.0567862
Iter 10160000, Residual:0.0595047
Iter 10200000, Residual:0.0578952
Iter 10240000, Residual:0.0566522
Iter 10280000, Residual:0.0547393
Iter 10320000, Residual:0.0551745
Iter 10360000, Residual:0.0559381
Iter 10400000, Residual:0.0528931
Iter 10440000, Residual:0.0520334
Iter 10480000, Residual:0.0559458
Iter 10520000, Residual:0.0550688
Iter 10560000, Residual:0.0547406
Iter 10600000, Residual:0.0489459
Iter 10640000, Residual:0.0530648
Iter 10680000, Residual:0.0494702
Iter 10720000, Residual:0.046436
Iter 10760000, Residual:0.0543338
Iter 10800000, Residual:0.0470311
Iter 10840000, Residual:0.0521308
Iter 10880000, Residual:0.0515231
Iter 10920000, Residual:0.0453635
Iter 10960000, Residual:0.04555
Iter 11000000, Residual:0.044935
Iter 11040000, Residual:0.0465902
Iter 11080000, Residual:0.0475558
Iter 11120000, Residual:0.0444753
Iter 11160000, Residual:0.0445746
Iter 11200000, Residual:0.0422148
Iter 11240000, Residual:0.0401066
Iter 11280000, Residual:0.0392393
Iter 11320000, Residual:0.0429974
Iter 11360000, Residual:0.0457084
Iter 11400000, Residual:0.041373
Iter 11440000, Residual:0.042728
Iter 11480000, Residual:0.0407915
Iter 11520000, Residual:0.0402126
Iter 11560000, Residual:0.0403632
Iter 11600000, Residual:0.0364557
Iter 11640000, Residual:0.037342
Iter 11680000, Residual:0.0406518
Iter 11720000, Residual:0.0399805
Iter 11760000, Residual:0.0385032
Iter 11800000, Residual:0.0343723
Iter 11840000, Residual:0.038232
Iter 11880000, Residual:0.0413798
Iter 11920000, Residual:0.0333733
Iter 11960000, Residual:0.0348218
Iter 12000000, Residual:0.034883
Iter 12040000, Residual:0.0347954
Iter 12080000, Residual:0.0388368
Iter 12120000, Residual:0.0387363
Iter 12160000, Residual:0.0384848
Iter 12200000, Residual:0.0341939
Iter 12240000, Residual:0.0328905
Iter 12280000, Residual:0.0335169
Iter 12320000, Residual:0.0342371
Iter 12360000, Residual:0.0305872
Iter 12400000, Residual:0.0316955
Iter 12440000, Residual:0.0289775
Iter 12480000, Residual:0.0310989
Iter 12520000, Residual:0.0309453
Iter 12560000, Residual:0.0303723
Iter 12600000, Residual:0.0290479
Iter 12640000, Residual:0.029927
Iter 12680000, Residual:0.0302338
Iter 12720000, Residual:0.0345589
Iter 12760000, Residual:0.0302594
Iter 12800000, Residual:0.0283797
Iter 12840000, Residual:0.0272375
Iter 12880000, Residual:0.0313131
Iter 12920000, Residual:0.0272812
Iter 12960000, Residual:0.0270435
Iter 13000000, Residual:0.0267627
Iter 13040000, Residual:0.0295104
Iter 13080000, Residual:0.028164
Iter 13120000, Residual:0.0278528
Iter 13160000, Residual:0.0261892
Iter 13200000, Residual:0.0256911
Iter 13240000, Residual:0.0285669
Iter 13280000, Residual:0.0253093
Iter 13320000, Residual:0.0278002
Iter 13360000, Residual:0.0265895
Iter 13400000, Residual:0.0241447
Iter 13440000, Residual:0.024225
Iter 13480000, Residual:0.0271572
Iter 13520000, Residual:0.0250823
Iter 13560000, Residual:0.0252666
Iter 13600000, Residual:0.0241945
Iter 13640000, Residual:0.0229068
Iter 13680000, Residual:0.0239933
Iter 13720000, Residual:0.02445
Iter 13760000, Residual:0.0227257
Iter 13800000, Residual:0.0222145
Iter 13840000, Residual:0.0235344
Iter 13880000, Residual:0.0228621
